Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,47.12,52.88,19637
Fixed South Facing Table,25,1.5,20,15,52287,0.0,36.54,63.46,19666
Fixed South Facing Table,50,1.5,20,15,52287,0.0,20.54,79.46,19667
Fixed South Facing Table,0,1.5,20,30,52287,0.0,45.72,54.28,20479
Fixed South Facing Table,25,1.5,20,30,52287,0.0,38.99,61.01,20529
Fixed South Facing Table,50,1.5,20,30,52287,0.0,17.48,82.52,20584
Fixed South Facing Table,0,1.5,20,45,52287,0.0,45.19,54.81,20213
Fixed South Facing Table,25,1.5,20,45,52287,0.0,35.23,64.77,20300
Fixed South Facing Table,50,1.5,20,45,52287,0.0,8.04,91.96,20425
Fixed South Facing Table,0,1.5,30,15,78431,4.0,52.0,44.0,29440
Fixed South Facing Table,25,1.5,30,15,78431,0.0,51.08,48.92,29449
Fixed South Facing Table,50,1.5,30,15,78431,0.0,36.54,63.46,29491
Fixed South Facing Table,0,1.5,30,30,78431,4.0,51.62,44.38,30546
Fixed South Facing Table,25,1.5,30,30,78431,0.0,46.08,53.92,30608
Fixed South Facing Table,50,1.5,30,30,78431,0.0,33.85,66.15,30764
Fixed South Facing Table,0,1.5,30,45,78431,0.15,50.54,49.31,29901
Fixed South Facing Table,25,1.5,30,45,78431,0.0,42.85,57.15,30084
Fixed South Facing Table,50,1.5,30,45,78431,0.0,29.77,70.23,30385
Fixed South Facing Table,0,1.5,40,15,104574,21.82,40.78,37.4,39172
Fixed South Facing Table,25,1.5,40,15,104574,0.0,55.17,44.83,39170
Fixed South Facing Table,50,1.5,40,15,104574,0.0,45.29,54.71,39248
Fixed South Facing Table,0,1.5,40,30,104574,19.83,40.32,39.85,40401
Fixed South Facing Table,25,1.5,40,30,104574,0.0,54.44,45.56,40532
Fixed South Facing Table,50,1.5,40,30,104574,0.0,39.06,60.94,40790
Fixed South Facing Table,0,1.5,40,45,104574,12.53,42.57,44.89,39274
Fixed South Facing Table,25,1.5,40,45,104574,0.0,47.61,52.39,39693
Fixed South Facing Table,50,1.5,40,45,104574,0.0,34.42,65.58,40213
Fixed South Facing Table,0,2.5,20,15,52287,0.0,52.97,47.03,19682
Fixed South Facing Table,25,2.5,20,15,52287,0.0,24.91,75.09,19655
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,19671
Fixed South Facing Table,0,2.5,20,30,52287,0.0,49.48,50.52,20475
Fixed South Facing Table,25,2.5,20,30,52287,0.0,18.97,81.03,20505
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,20581
Fixed South Facing Table,0,2.5,20,45,52287,0.0,44.76,55.24,20193
Fixed South Facing Table,25,2.5,20,45,52287,0.0,2.1,97.9,20298
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,20436
Fixed South Facing Table,0,2.5,30,15,78431,0.0,69.31,30.69,29421
Fixed South Facing Table,25,2.5,30,15,78431,0.0,56.38,43.62,29444
Fixed South Facing Table,50,2.5,30,15,78431,0.0,26.85,73.15,29471
Fixed South Facing Table,0,2.5,30,30,78431,0.0,63.62,36.38,30555
Fixed South Facing Table,25,2.5,30,30,78431,0.0,51.46,48.54,30627
Fixed South Facing Table,50,2.5,30,30,78431,0.0,24.77,75.23,30736
Fixed South Facing Table,0,2.5,30,45,78431,0.0,61.54,38.46,29889
Fixed South Facing Table,25,2.5,30,45,78431,0.0,51.31,48.69,30125
Fixed South Facing Table,50,2.5,30,45,78431,0.0,6.85,93.15,30441
Fixed South Facing Table,0,2.5,40,15,104574,0.0,77.52,22.48,39190
Fixed South Facing Table,25,2.5,40,15,104574,0.0,65.45,34.55,39196
Fixed South Facing Table,50,2.5,40,15,104574,0.0,42.04,57.96,39257
Fixed South Facing Table,0,2.5,40,30,104574,0.0,70.89,29.11,40389
Fixed South Facing Table,25,2.5,40,30,104574,0.0,60.48,39.52,40555
Fixed South Facing Table,50,2.5,40,30,104574,0.0,39.72,60.28,40818
Fixed South Facing Table,0,2.5,40,45,104574,0.0,67.18,32.82,39271
Fixed South Facing Table,25,2.5,40,45,104574,0.0,57.76,42.24,39696
Fixed South Facing Table,50,2.5,40,45,104574,0.0,35.74,64.26,40221
Fixed South Facing Table,0,2,20,15,52287,0.0,49.91,50.09,19668
Fixed South Facing Table,25,2,20,15,52287,0.0,35.23,64.77,19652
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,19685
Fixed South Facing Table,0,2,20,30,52287,0.0,47.47,52.53,20488
Fixed South Facing Table,25,2,20,30,52287,0.0,38.11,61.89,20539
Fixed South Facing Table,50,2,20,30,52287,0.0,0.0,100.0,20568
Fixed South Facing Table,0,2,20,45,52287,0.0,47.38,52.62,20199
Fixed South Facing Table,25,2,20,45,52287,0.0,28.23,71.77,20345
Fixed South Facing Table,50,2,20,45,52287,0.0,0.0,100.0,20444
Fixed South Facing Table,0,2,30,15,78431,0.0,63.38,36.62,29441
Fixed South Facing Table,25,2,30,15,78431,0.0,51.92,48.08,29466
Fixed South Facing Table,50,2,30,15,78431,0.0,33.85,66.15,29470
Fixed South Facing Table,0,2,30,30,78431,0.0,59.46,40.54,30502
Fixed South Facing Table,25,2,30,30,78431,0.0,51.69,48.31,30610
Fixed South Facing Table,50,2,30,30,78431,0.0,30.54,69.46,30731
Fixed South Facing Table,0,2,30,45,78431,0.0,59.38,40.62,29887
Fixed South Facing Table,25,2,30,45,78431,0.0,46.15,53.85,30118
Fixed South Facing Table,50,2,30,45,78431,0.0,24.08,75.92,30398
Fixed South Facing Table,0,2,40,15,104574,4.51,63.33,32.16,39194
Fixed South Facing Table,25,2,40,15,104574,0.0,60.74,39.26,39196
Fixed South Facing Table,50,2,40,15,104574,0.0,44.23,55.77,39242
Fixed South Facing Table,0,2,40,30,104574,8.22,57.96,33.82,40401
Fixed South Facing Table,25,2,40,30,104574,0.0,55.57,44.43,40579
Fixed South Facing Table,50,2,40,30,104574,0.0,41.91,58.09,40806
Fixed South Facing Table,0,2,40,45,104574,2.32,62.8,34.88,39282
Fixed South Facing Table,25,2,40,45,104574,0.0,54.44,45.56,39712
Fixed South Facing Table,50,2,40,45,104574,0.0,35.54,64.46,40207
Fixed South Facing Table,0,3.5,20,15,52287,0.0,37.15,62.85,19654
Fixed South Facing Table,25,3.5,20,15,52287,0.0,6.12,93.88,19685
Fixed South Facing Table,50,3.5,20,15,52287,0.0,0.0,100.0,19681
Fixed South Facing Table,0,3.5,20,30,52287,0.0,17.74,82.26,20488
Fixed South Facing Table,25,3.5,20,30,52287,0.0,0.0,100.0,20510
Fixed South Facing Table,50,3.5,20,30,52287,0.0,0.0,100.0,20582
Fixed South Facing Table,0,3.5,20,45,52287,0.0,0.0,100.0,20200
Fixed South Facing Table,25,3.5,20,45,52287,0.0,0.0,100.0,20304
Fixed South Facing Table,50,3.5,20,45,52287,0.0,0.0,100.0,20447
Fixed South Facing Table,0,3.5,30,15,78431,0.0,91.85,8.15,29446
Fixed South Facing Table,25,3.5,30,15,78431,0.0,59.69,40.31,29442
Fixed South Facing Table,50,3.5,30,15,78431,0.0,0.0,100.0,29507
Fixed South Facing Table,0,3.5,30,30,78431,0.0,73.31,26.69,30529
Fixed South Facing Table,25,3.5,30,30,78431,0.0,42.15,57.85,30623
Fixed South Facing Table,50,3.5,30,30,78431,0.0,0.0,100.0,30762
Fixed South Facing Table,0,3.5,30,45,78431,0.0,65.92,34.08,29887
Fixed South Facing Table,25,3.5,30,45,78431,0.0,41.08,58.92,30126
Fixed South Facing Table,50,3.5,30,45,78431,0.0,0.0,100.0,30394
Fixed South Facing Table,0,3.5,40,15,104574,0.0,100.0,0.0,39174
Fixed South Facing Table,25,3.5,40,15,104574,0.0,82.43,17.57,39250
Fixed South Facing Table,50,3.5,40,15,104574,0.0,35.61,64.39,39216
Fixed South Facing Table,0,3.5,40,30,104574,0.0,83.49,16.51,40394
Fixed South Facing Table,25,3.5,40,30,104574,0.0,66.51,33.49,40570
Fixed South Facing Table,50,3.5,40,30,104574,0.0,30.64,69.36,40814
Fixed South Facing Table,0,3.5,40,45,104574,0.0,75.46,24.54,39277
Fixed South Facing Table,25,3.5,40,45,104574,0.0,61.21,38.79,39684
Fixed South Facing Table,50,3.5,40,45,104574,0.0,10.68,89.32,40192
Fixed South Facing Table,0,3,20,15,52287,0.0,46.94,53.06,19646
Fixed South Facing Table,25,3,20,15,52287,0.0,11.71,88.29,19679
Fixed South Facing Table,50,3,20,15,52287,0.0,0.0,100.0,19693
Fixed South Facing Table,0,3,20,30,52287,0.0,35.58,64.42,20460
Fixed South Facing Table,25,3,20,30,52287,0.0,2.62,97.38,20521
Fixed South Facing Table,50,3,20,30,52287,0.0,0.0,100.0,20581
Fixed South Facing Table,0,3,20,45,52287,0.0,19.58,80.42,20201
Fixed South Facing Table,25,3,20,45,52287,0.0,0.0,100.0,20315
Fixed South Facing Table,50,3,20,45,52287,0.0,0.0,100.0,20434
Fixed South Facing Table,0,3,30,15,78431,0.0,79.85,20.15,29431
Fixed South Facing Table,25,3,30,15,78431,0.0,58.23,41.77,29468
Fixed South Facing Table,50,3,30,15,78431,0.0,5.0,95.0,29477
Fixed South Facing Table,0,3,30,30,78431,0.0,68.77,31.23,30518
Fixed South Facing Table,25,3,30,30,78431,0.0,52.38,47.62,30596
Fixed South Facing Table,50,3,30,30,78431,0.0,0.46,99.54,30741
Fixed South Facing Table,0,3,30,45,78431,0.0,65.62,34.38,29883
Fixed South Facing Table,25,3,30,45,78431,0.0,49.15,50.85,30125
Fixed South Facing Table,50,3,30,45,78431,0.0,0.0,100.0,30401
Fixed South Facing Table,0,3,40,15,104574,0.0,90.38,9.62,39152
Fixed South Facing Table,25,3,40,15,104574,0.0,72.41,27.59,39196
Fixed South Facing Table,50,3,40,15,104574,0.0,40.32,59.68,39259
